fid,objectid,cod_rip,cod_reg,cod_prov,pro_com,pro_com_t
130,22913,1,2,7,7039,"007039"
131,26629,4,15,63,63049,"063049"
132,21339,4,16,73,73020,"073020"
133,23765,4,15,63,63049,"063049"
134,26076,3,12,58,58091,"058091"
135,20020,2,8,99,99013,"099013"
136,19888,2,5,26,26026,"026026"
137,17448,1,3,16,16183,"016183"
138,18805,1,7,10,10008,"010008"
139,23846,2,5,24,24021,"024021"
140,23037,2,8,37,37006,"037006"
141,15421,3,12,59,59001,"059001"
142,27588,1,3,15,15011,"015011"
143,17771,2,5,27,27001,"027001"
144,19014,2,5,26,26006,"026006"
145,24474,2,8,37,37061,"037061"
146,17649,4,16,75,75035,"075035"
147,20819,1,1,103,103025,"103025"
148,25577,3,12,59,59001,"059001"
149,18472,2,8,99,99018,"099018"
150,19550,1,1,5,5097,"005097"
151,19844,2,8,33,33018,"033018"
152,16641,2,5,28,28054,"028054"
153,16157,4,18,78,78060,"078060"
154,18133,4,15,63,63049,"063049"
155,14882,2,6,93,93053,"093053"
156,23346,2,5,24,24084,"024084"
157,21463,1,3,98,98015,"098015"
158,23408,4,15,63,63049,"063049"
159,19615,1,3,17,17052,"017052"
160,17342,1,1,1,1066,"001066"
161,27986,1,7,10,10025,"010025"
162,23493,4,15,63,63049,"063049"
163,19461,1,1,1,1272,"001272"
164,22133,4,15,63,63049,"063049"
165,19356,3,10,54,54041,"054041"
166,23639,1,1,1,1181,"001181"
167,21193,2,5,27,27020,"027020"
168,30794,1,3,15,15157,"015157"
169,25636,2,5,27,27043,"027043"
170,18877,2,8,33,33032,"033032"
171,16770,2,5,28,28058,"028058"
172,25876,3,9,52,52011,"052011"
173,16755,1,3,15,15226,"015226"
174,21630,4,17,76,76012,"076012"
175,27943,4,13,67,67041,"067041"
176,16394,1,3,15,15146,"015146"
177,20926,1,1,6,6174,"006174"
178,23482,2,8,37,37036,"037036"
179,26055,1,3,108,108008,"108008"
180,17212,1,1,96,96087,"096087"
181,17886,1,1,1,1170,"001170"
182,23429,4,15,63,63049,"063049"
183,14433,1,3,15,15139,"015139"
184,24071,5,19,83,83098,"083098"
185,31262,2,8,37,37060,"037060"
186,21487,1,3,18,18159,"018159"
187,17236,4,13,69,69041,"069041"
188,21749,2,8,39,39014,"039014"
189,26495,4,15,63,63049,"063049"
190,24509,2,8,37,37039,"037039"
191,25002,1,3,18,18102,"018102"
192,20251,5,19,82,82070,"082070"
193,23229,2,8,33,33027,"033027"
194,19171,1,1,96,96039,"096039"
195,24067,2,5,28,28106,"028106"
196,26117,4,15,64,64034,"064034"
197,19900,2,5,26,26006,"026006"
198,26913,3,11,42,42012,"042012"
199,19909,3,12,60,60022,"060022"
200,30932,3,12,58,58091,"058091"
201,21882,5,19,81,81014,"081014"
202,22323,2,6,30,30018,"030018"
203,15695,2,6,30,30091,"030091"
204,17290,1,7,9,9006,"009006"
