fid,objectid,cod_rip,cod_reg,cod_prov,pro_com,pro_com_t
5436,5515,1,7,9,9022,"009022"
5437,5518,1,7,9,9022,"009022"
5438,14033,4,16,72,72041,"072041"
5439,14406,4,16,72,72041,"072041"
5440,2191,1,1,4,4078,"004078"
5441,2192,1,1,4,4078,"004078"
5442,7968,1,1,1,1272,"001272"
5443,7967,1,1,1,1272,"001272"
5444,3817,1,1,1,1272,"001272"
5445,3818,1,1,1,1272,"001272"
5446,7100,1,3,16,16239,"016239"
5447,7098,1,3,16,16239,"016239"
5448,12431,1,1,1,1272,"001272"
5449,12423,1,1,1,1272,"001272"
5450,15315,1,3,12,12005,"012005"
5451,15312,1,3,12,12005,"012005"
5452,4810,1,3,18,18137,"018137"
5453,4807,1,3,18,18137,"018137"
5454,3033,1,1,1,1272,"001272"
5455,3031,1,1,1,1272,"001272"
5456,7555,1,1,1,1272,"001272"
5457,7557,1,1,1,1272,"001272"
5458,3739,1,1,1,1272,"001272"
5459,3738,1,1,1,1272,"001272"
5460,4294,1,1,96,96077,"096077"
5461,4293,1,1,96,96077,"096077"
5462,5558,1,1,1,1272,"001272"
5463,5563,1,1,1,1272,"001272"
5464,11130,1,1,4,4106,"004106"
5465,11127,1,1,4,4106,"004106"
5466,7102,1,1,4,4062,"004062"
5467,7117,1,1,4,4062,"004062"
5468,7524,1,1,6,6003,"006003"
5469,7526,1,1,6,6003,"006003"
5470,12182,1,3,15,15146,"015146"
5471,12183,1,3,15,15146,"015146"
5472,3958,1,3,18,18177,"018177"
5473,3957,1,3,18,18177,"018177"
5474,12970,1,3,18,18177,"018177"
5475,12967,1,3,18,18177,"018177"
5476,1364,1,3,18,18177,"018177"
5477,1365,1,3,18,18177,"018177"
5478,6485,2,6,93,93029,"093029"
5479,6486,2,6,93,93029,"093029"
5480,5566,2,6,93,93029,"093029"
5481,5569,2,6,93,93029,"093029"
5482,9163,2,6,93,93029,"093029"
5483,9157,2,6,93,93029,"093029"
5484,12483,1,1,1,1272,"001272"
5485,12484,1,1,1,1272,"001272"
5486,5597,1,1,1,1272,"001272"
5487,5600,1,1,1,1272,"001272"
5488,2837,1,1,1,1219,"001219"
5489,2839,1,1,1,1219,"001219"
5490,4424,1,1,1,1219,"001219"
5491,4419,1,1,1,1219,"001219"
5492,1541,1,3,12,12079,"012079"
5493,1542,1,3,12,12079,"012079"
5494,5042,1,3,12,12123,"012123"
5495,5038,1,3,12,12123,"012123"
5496,2190,1,3,12,12123,"012123"
5497,2189,1,3,12,12123,"012123"
5498,2268,1,1,1,1029,"001029"
5499,2269,1,1,1,1029,"001029"
5500,5255,1,1,4,4213,"004213"
5501,5253,1,1,4,4213,"004213"
5502,7426,5,20,111,111034,"111034"
5503,7439,5,20,111,111034,"111034"
5504,12591,5,20,111,111034,"111034"
5505,12590,5,20,111,111034,"111034"
5506,11003,1,3,13,13090,"013090"
5507,11006,1,3,13,13090,"013090"
5508,9827,1,3,13,13090,"013090"
5509,9826,1,3,13,13090,"013090"
5510,8366,1,3,12,12070,"012070"
5511,8365,1,3,12,12070,"012070"
5512,8243,1,3,13,13046,"013046"
5513,8244,1,3,13,13046,"013046"
5514,10299,5,20,111,111034,"111034"
5515,10300,5,20,111,111034,"111034"
5516,7086,1,3,13,13041,"013041"
5517,7083,1,3,13,13041,"013041"
5518,11453,1,1,96,96053,"096053"
5519,11442,1,1,96,96053,"096053"
5520,11085,3,12,58,58097,"058097"
5521,11083,3,12,58,58097,"058097"
5522,8014,1,3,13,13154,"013154"
5523,8013,1,3,13,13154,"013154"
5524,6993,3,9,48,48017,"048017"
5525,6997,3,9,48,48017,"048017"
5526,5684,4,17,76,76063,"076063"
5527,5679,4,17,76,76063,"076063"
5528,10107,1,1,3,3106,"003106"
5529,10108,1,1,3,3106,"003106"
5530,1150,1,1,3,3088,"003088"
5531,1149,1,1,3,3088,"003088"
5532,3983,4,15,63,63025,"063025"
5533,3961,4,15,63,63025,"063025"
5534,11262,1,3,13,13034,"013034"
5535,11267,1,3,13,13034,"013034"
5536,1191,5,20,111,111034,"111034"
5537,1190,5,20,111,111034,"111034"
5538,7816,3,12,58,58091,"058091"
5539,7814,3,12,58,58091,"058091"
5540,4760,2,5,24,24004,"024004"
5541,4758,2,5,24,24004,"024004"
5542,9767,4,18,78,78138,"078138"
5543,9765,4,18,78,78138,"078138"
5544,10961,1,3,16,16008,"016008"
5545,10964,1,3,16,16008,"016008"
5546,2601,1,3,13,13154,"013154"
5547,2602,1,3,13,13154,"013154"
5548,8950,3,9,48,48032,"048032"
5549,8947,3,9,48,48032,"048032"
5550,14404,1,3,13,13075,"013075"
5551,14403,1,3,13,13075,"013075"
5552,2821,1,7,9,9038,"009038"
5553,2825,1,7,9,9038,"009038"
5554,1453,1,3,12,12144,"012144"
5555,1452,1,3,12,12144,"012144"
5556,10978,1,3,16,16008,"016008"
5557,10981,1,3,16,16008,"016008"
5558,12514,4,15,63,63057,"063057"
5559,12513,4,15,63,63057,"063057"
5560,13587,1,3,18,18137,"018137"
5561,13589,1,3,18,18137,"018137"
5562,7996,2,5,24,24004,"024004"
5563,7995,2,5,24,24004,"024004"
5564,103,1,2,7,7002,"007002"
5565,104,1,2,7,7002,"007002"
5566,12217,1,3,13,13041,"013041"
5567,12218,1,3,13,13041,"013041"
5568,10966,1,7,9,9001,"009001"
5569,10963,1,7,9,9001,"009001"
5570,11319,1,3,12,12039,"012039"
5571,11317,1,3,12,12039,"012039"
5572,7193,5,19,87,87015,"087015"
5573,7190,5,19,87,87015,"087015"
5574,5901,5,20,111,111105,"111105"
5575,5884,5,20,111,111105,"111105"
5576,12947,5,20,111,111034,"111034"
5577,12960,5,20,111,111034,"111034"
5578,9603,4,16,71,71051,"071051"
5579,9599,4,16,71,71051,"071051"
5580,13074,1,1,3,3130,"003130"
5581,13077,1,1,3,3130,"003130"
5582,8291,2,5,24,24004,"024004"
5583,8292,2,5,24,24004,"024004"
5584,12987,5,20,111,111034,"111034"
5585,12988,5,20,111,111034,"111034"
5586,10631,2,8,36,36015,"036015"
5587,10630,2,8,36,36015,"036015"
5588,13361,3,12,58,58091,"058091"
5589,13360,3,12,58,58091,"058091"
5590,6782,1,1,1,1164,"001164"
5591,6791,1,1,1,1164,"001164"
5592,13358,1,1,6,6003,"006003"
5593,13362,1,1,6,6003,"006003"
5594,12719,1,1,1,1164,"001164"
5595,12718,1,1,1,1164,"001164"
5596,11502,1,1,3,3106,"003106"
5597,11505,1,1,3,3106,"003106"
5598,5147,3,9,48,48019,"048019"
5599,5145,3,9,48,48019,"048019"
5600,6119,1,1,6,6003,"006003"
5601,6120,1,1,6,6003,"006003"
5602,3930,3,12,58,58079,"058079"
5603,3931,3,12,58,58079,"058079"
5604,6259,1,3,15,15062,"015062"
5605,6260,1,3,15,15062,"015062"
5606,4616,2,8,36,36040,"036040"
5607,4612,2,8,36,36040,"036040"
5608,2843,2,8,36,36015,"036015"
5609,2841,2,8,36,36015,"036015"
5610,1657,3,12,58,58091,"058091"
5611,1658,3,12,58,58091,"058091"
5612,12139,2,8,39,39007,"039007"
5613,12407,2,8,39,39007,"039007"
5614,10733,2,8,36,36015,"036015"
5615,10732,2,8,36,36015,"036015"
5616,10376,3,12,58,58122,"058122"
5617,10377,3,12,58,58122,"058122"
5618,4482,1,3,13,13046,"013046"
5619,4488,1,3,13,13046,"013046"
5620,12964,1,1,1,1259,"001259"
5621,12962,1,1,1,1259,"001259"
5622,11198,2,8,36,36040,"036040"
5623,11202,2,8,36,36040,"036040"
5624,11563,1,1,1,1164,"001164"
5625,11566,1,1,1,1164,"001164"
5626,10270,3,9,100,100005,"100005"
5627,10271,3,9,100,100005,"100005"
5628,4334,1,1,1,1194,"001194"
5629,4335,1,1,1,1194,"001194"
5630,5495,1,1,1,1194,"001194"
5631,5497,1,1,1,1194,"001194"
5632,7721,1,1,1,1074,"001074"
5633,7724,1,1,1,1074,"001074"
5634,11547,1,1,1,1280,"001280"
5635,11549,1,1,1,1280,"001280"
5636,11246,1,1,1,1280,"001280"
5637,11253,1,1,1,1280,"001280"
5638,4821,1,1,1,1164,"001164"
5639,4819,1,1,1,1164,"001164"
5640,5696,1,3,15,15019,"015019"
5641,5693,1,3,15,15019,"015019"
5642,11157,3,12,58,58091,"058091"
5643,11153,3,12,58,58091,"058091"
5644,718,3,12,58,58091,"058091"
5645,719,3,12,58,58091,"058091"
5646,13246,1,1,3,3037,"003037"
5647,13244,1,1,3,3037,"003037"
5648,7077,2,8,35,35033,"035033"
5649,7084,2,8,35,35033,"035033"
5650,7622,1,3,13,13238,"013238"
5651,7626,1,3,13,13238,"013238"
5652,8545,5,20,111,111105,"111105"
5653,8537,5,20,111,111105,"111105"
5654,14654,3,12,58,58007,"058007"
5655,14650,3,12,58,58007,"058007"
5656,9855,1,1,1,1082,"001082"
5657,9857,1,1,1,1082,"001082"
5658,9110,1,1,6,6071,"006071"
5659,9106,1,1,6,6071,"006071"
5660,5740,1,1,1,1164,"001164"
5661,5742,1,1,1,1164,"001164"
5662,10695,3,9,49,49011,"049011"
5663,10696,3,9,49,49011,"049011"
5664,8892,3,9,46,46005,"046005"
5665,8889,3,9,46,46005,"046005"
5666,11345,3,9,49,49007,"049007"
5667,11342,3,9,49,49007,"049007"
5668,4901,3,9,46,46017,"046017"
5669,4906,3,9,46,46017,"046017"
5670,11610,3,9,49,49007,"049007"
5671,11608,3,9,49,49007,"049007"
5672,5697,1,3,97,97017,"097017"
5673,5691,1,3,97,97017,"097017"
5674,12592,1,3,108,108033,"108033"
5675,12593,1,3,108,108033,"108033"
5676,7023,2,5,28,28037,"028037"
5677,7022,2,5,28,28037,"028037"
5678,8143,2,8,36,36005,"036005"
5679,8142,2,8,36,36005,"036005"
5680,1401,2,8,36,36005,"036005"
5681,1402,2,8,36,36005,"036005"
5682,9495,1,3,16,16024,"016024"
5683,9492,1,3,16,16024,"016024"
5684,10194,4,16,75,75043,"075043"
5685,10195,4,16,75,75043,"075043"
5686,10319,1,3,15,15081,"015081"
5687,10320,1,3,15,15081,"015081"
5688,10139,4,16,74,74003,"074003"
5689,10140,4,16,74,74003,"074003"
5690,4001,4,16,72,72015,"072015"
5691,6000,4,16,72,72015,"072015"
5692,8018,2,8,37,37035,"037035"
5693,8019,2,8,37,37035,"037035"
5694,8490,1,3,15,15081,"015081"
5695,8491,1,3,15,15081,"015081"
5696,14224,2,8,35,35033,"035033"
5697,14223,2,8,35,35033,"035033"
5698,5926,1,1,1,1027,"001027"
5699,5928,1,1,1,1027,"001027"
5700,10046,3,9,53,53003,"053003"
5701,10047,3,9,53,53003,"053003"
5702,12631,2,5,28,28037,"028037"
5703,12632,2,5,28,28037,"028037"
5704,9013,3,9,47,47014,"047014"
5705,9019,3,9,47,47014,"047014"
5706,8840,3,9,51,51033,"051033"
5707,8828,3,9,51,51033,"051033"
5708,137,3,9,51,51002,"051002"
5709,138,3,9,51,51002,"051002"
5710,12173,3,9,51,51002,"051002"
5711,12172,3,9,51,51002,"051002"
5712,7605,2,5,27,27042,"027042"
5713,7602,2,5,27,27042,"027042"
5714,8955,2,5,26,26091,"026091"
5715,8958,2,5,26,26091,"026091"
5716,5949,3,9,100,100005,"100005"
5717,5941,3,9,100,100005,"100005"
5718,12630,1,1,2,2061,"002061"
5719,12629,1,1,2,2061,"002061"
5720,14529,1,3,16,16194,"016194"
5721,14534,1,3,16,16194,"016194"
5722,9261,5,20,90,90047,"090047"
5723,9262,5,20,90,90047,"090047"
5724,1924,1,1,1,1272,"001272"
5725,1923,1,1,1,1272,"001272"
5726,592,2,5,26,26091,"026091"
5727,593,2,5,26,26091,"026091"
5728,1137,5,20,92,92003,"092003"
5729,1138,5,20,92,92003,"092003"
5730,1181,5,20,92,92015,"092015"
5731,1180,5,20,92,92015,"092015"
5732,2080,1,1,3,3024,"003024"
5733,2079,1,1,3,3024,"003024"
5734,7578,1,1,3,3024,"003024"
5735,7580,1,1,3,3024,"003024"
5736,1804,3,9,50,50033,"050033"
5737,1805,3,9,50,50033,"050033"
5738,7151,1,1,3,3024,"003024"
5739,7154,1,1,3,3024,"003024"
5740,15702,1,1,3,3043,"003043"
5741,15706,1,1,3,3043,"003043"
5742,6719,1,3,15,15010,"015010"
5743,6705,1,3,15,15010,"015010"
5744,13223,3,9,51,51013,"051013"
5745,13229,3,9,51,51013,"051013"
5746,755,3,9,46,46017,"046017"
5747,754,3,9,46,46017,"046017"
5748,2715,1,3,108,108054,"108054"
5749,2714,1,3,108,108054,"108054"
5750,1846,3,9,46,46017,"046017"
5751,1847,3,9,46,46017,"046017"
5752,236,1,1,3,3106,"003106"
5753,237,1,1,3,3106,"003106"
5754,14788,1,3,15,15081,"015081"
5755,14792,1,3,15,15081,"015081"
5756,13456,2,5,27,27042,"027042"
5757,13459,2,5,27,27042,"027042"
5758,7742,1,2,7,7069,"007069"
5759,7740,1,2,7,7069,"007069"
5760,2154,4,17,76,76046,"076046"
5761,2155,4,17,76,76046,"076046"
5762,13094,4,17,76,76064,"076064"
5763,13085,4,17,76,76064,"076064"
5764,2771,5,20,92,92015,"092015"
5765,2772,5,20,92,92015,"092015"
5766,7434,2,5,26,26091,"026091"
5767,7438,2,5,26,26091,"026091"
5768,3378,1,3,108,108050,"108050"
5769,3373,1,3,108,108050,"108050"
5770,13243,5,20,92,92015,"092015"
5771,13242,5,20,92,92015,"092015"
5772,7732,4,16,71,71051,"071051"
5773,7729,4,16,71,71051,"071051"
5774,10845,3,9,100,100005,"100005"
5775,10842,3,9,100,100005,"100005"
5776,9095,3,9,50,50032,"050032"
5777,9092,3,9,50,50032,"050032"
5778,7847,1,1,1,1282,"001282"
5779,7848,1,1,1,1282,"001282"
5780,7836,1,3,15,15081,"015081"
5781,7838,1,3,15,15081,"015081"
5782,7988,3,9,50,50028,"050028"
5783,7989,3,9,50,50028,"050028"
5784,7188,1,2,7,7046,"007046"
5785,7187,1,2,7,7046,"007046"
5786,1008,1,2,7,7069,"007069"
5787,1009,1,2,7,7069,"007069"
5788,11268,4,16,72,72035,"072035"
5789,11270,4,16,72,72035,"072035"
5790,9955,3,12,57,57035,"057035"
5791,9956,3,12,57,57035,"057035"
5792,4083,4,18,78,78045,"078045"
5793,4084,4,18,78,78045,"078045"
5794,7275,3,12,58,58091,"058091"
5795,7278,3,12,58,58091,"058091"
5796,10002,1,3,17,17127,"017127"
5797,10007,1,3,17,17127,"017127"
5798,10701,1,1,3,3049,"003049"
5799,10702,1,1,3,3049,"003049"
5800,4051,4,16,75,75035,"075035"
5801,4050,4,16,75,75035,"075035"
5802,187,4,16,72,72030,"072030"
5803,186,4,16,72,72030,"072030"
5804,874,1,1,1,1282,"001282"
5805,873,1,1,1,1282,"001282"
5806,2372,3,9,50,50033,"050033"
5807,2371,3,9,50,50033,"050033"
5808,6994,3,9,50,50033,"050033"
5809,6996,3,9,50,50033,"050033"
5810,11850,1,1,3,3024,"003024"
5811,11822,1,1,3,3024,"003024"
5812,1198,1,1,1,1219,"001219"
5813,1197,1,1,1,1219,"001219"
5814,3741,1,1,3,3106,"003106"
5815,3740,1,1,3,3106,"003106"
5816,1237,3,9,50,50033,"050033"
5817,1238,3,9,50,50033,"050033"
5818,10215,3,9,51,51002,"051002"
5819,10216,3,9,51,51002,"051002"
5820,9415,1,1,103,103017,"103017"
5821,9420,1,1,103,103017,"103017"
5822,11295,3,12,58,58091,"058091"
5823,11290,3,12,58,58091,"058091"
5824,11989,2,6,93,93044,"093044"
5825,11988,2,6,93,93044,"093044"
5826,6735,3,9,50,50033,"050033"
5827,6739,3,9,50,50033,"050033"
5828,7322,2,6,93,93044,"093044"
5829,7310,2,6,93,93044,"093044"
5830,10310,1,3,17,17029,"017029"
5831,10309,1,3,17,17029,"017029"
5832,7959,5,19,83,83038,"083038"
5833,7960,5,19,83,83038,"083038"
5834,8424,5,19,83,83038,"083038"
5835,8427,5,19,83,83038,"083038"
5836,154,2,6,93,93044,"093044"
5837,155,2,6,93,93044,"093044"
5838,5686,1,2,7,7041,"007041"
5839,5683,1,2,7,7041,"007041"
5840,5565,1,3,16,16077,"016077"
5841,5561,1,3,16,16077,"016077"
5842,2690,2,5,27,27044,"027044"
5843,2689,2,5,27,27044,"027044"
5844,10766,5,19,81,81004,"081004"
5845,10765,5,19,81,81004,"081004"
5846,13386,4,15,63,63052,"063052"
5847,13387,4,15,63,63052,"063052"
5848,10985,2,5,25,25016,"025016"
5849,10982,2,5,25,25016,"025016"
5850,9281,1,3,20,20034,"020034"
5851,9283,1,3,20,20034,"020034"
5852,1390,4,16,75,75035,"075035"
5853,1389,4,16,75,75035,"075035"
5854,12618,1,1,3,3106,"003106"
5855,12617,1,1,3,3106,"003106"
5856,13322,1,3,15,15086,"015086"
5857,13325,1,3,15,15086,"015086"
5858,1671,5,20,95,95077,"095077"
5859,1670,5,20,95,95077,"095077"
5860,12057,5,20,95,95025,"095025"
5861,12058,5,20,95,95025,"095025"
5862,6531,5,20,95,95008,"095008"
5863,6516,5,20,95,95008,"095008"
5864,13747,5,20,95,95025,"095025"
5865,13748,5,20,95,95025,"095025"
5866,1394,4,18,79,79127,"079127"
5867,1393,4,18,79,79127,"079127"
5868,9203,4,18,79,79023,"079023"
5869,9198,4,18,79,79023,"079023"
5870,1822,5,19,83,83048,"083048"
5871,1823,5,19,83,83048,"083048"
5872,15238,5,19,83,83048,"083048"
5873,15245,5,19,83,83048,"083048"
5874,5117,5,20,95,95026,"095026"
5875,5131,5,20,95,95026,"095026"
5876,12754,2,8,33,33007,"033007"
5877,12755,2,8,33,33007,"033007"
5878,1408,2,5,26,26043,"026043"
5879,1407,2,5,26,26043,"026043"
5880,2385,2,8,33,33026,"033026"
5881,2384,2,8,33,33026,"033026"
5882,12563,2,8,33,33007,"033007"
5883,12562,2,8,33,33007,"033007"
5884,7250,2,8,33,33007,"033007"
5885,7248,2,8,33,33007,"033007"
5886,1260,5,19,87,87031,"087031"
5887,1261,5,19,87,87031,"087031"
5888,2905,5,19,89,89013,"089013"
5889,2902,5,19,89,89013,"089013"
5890,7845,5,19,89,89014,"089014"
5891,7846,5,19,89,89014,"089014"
5892,5303,3,9,51,51002,"051002"
5893,5296,3,9,51,51002,"051002"
5894,319,5,19,88,88006,"088006"
5895,318,5,19,88,88006,"088006"
5896,1563,5,19,85,85016,"085016"
5897,1562,5,19,85,85016,"085016"
5898,7875,5,19,88,88012,"088012"
5899,7880,5,19,88,88012,"088012"
5900,13627,5,19,89,89013,"089013"
5901,13625,5,19,89,89013,"089013"
5902,4323,5,19,81,81006,"081006"
5903,4324,5,19,81,81006,"081006"
5904,13603,1,1,1,1008,"001008"
5905,13605,1,1,1,1008,"001008"
5906,14037,1,1,96,96020,"096020"
5907,14038,1,1,96,96020,"096020"
5908,5832,5,19,85,85016,"085016"
5909,5836,5,19,85,85016,"085016"
5910,5331,5,19,89,89013,"089013"
5911,5329,5,19,89,89013,"089013"
5912,5146,5,19,88,88011,"088011"
5913,5149,5,19,88,88011,"088011"
5914,6756,5,19,89,89013,"089013"
5915,6757,5,19,89,89013,"089013"
5916,3805,1,3,12,12108,"012108"
5917,3804,1,3,12,12108,"012108"
5918,6662,1,3,16,16004,"016004"
5919,6661,1,3,16,16004,"016004"
5920,7681,1,3,19,19036,"019036"
5921,7675,1,3,19,19036,"019036"
5922,3606,1,3,13,13048,"013048"
5923,3605,1,3,13,13048,"013048"
5924,10031,1,3,15,15015,"015015"
5925,10032,1,3,15,15015,"015015"
5926,4311,1,3,15,15118,"015118"
5927,4312,1,3,15,15118,"015118"
5928,4505,1,3,108,108009,"108009"
5929,4504,1,3,108,108009,"108009"
5930,13897,4,18,78,78083,"078083"
5931,13898,4,18,78,78083,"078083"
5932,6753,5,19,82,82079,"082079"
5933,6761,5,19,82,82079,"082079"
5934,10638,1,1,4,4218,"004218"
5935,10639,1,1,4,4218,"004218"
5936,5319,5,19,86,86009,"086009"
5937,5323,5,19,86,86009,"086009"
5938,5827,1,3,18,18050,"018050"
5939,5831,1,3,18,18050,"018050"
5940,5342,3,9,48,48052,"048052"
5941,5336,3,9,48,48052,"048052"
5942,3730,3,9,50,50032,"050032"
5943,3731,3,9,50,50032,"050032"
5944,6507,3,9,48,48015,"048015"
5945,6505,3,9,48,48015,"048015"
5946,3204,1,1,1,1219,"001219"
5947,3189,1,1,1,1219,"001219"
5948,13630,3,9,53,53022,"053022"
5949,13633,3,9,53,53022,"053022"
5950,4343,3,9,46,46005,"046005"
5951,4344,3,9,46,46005,"046005"
5952,5401,3,9,50,50032,"050032"
5953,5397,3,9,50,50032,"050032"
5954,6702,3,9,48,48052,"048052"
5955,6701,3,9,48,48052,"048052"
5956,3014,3,9,53,53022,"053022"
5957,3017,3,9,53,53022,"053022"
5958,7993,5,19,82,82056,"082056"
5959,7994,5,19,82,82056,"082056"
5960,5970,3,9,46,46033,"046033"
5961,5971,3,9,46,46033,"046033"
5962,1189,2,5,23,23043,"023043"
5963,1188,2,5,23,23043,"023043"
5964,14191,1,1,4,4218,"004218"
5965,14190,1,1,4,4218,"004218"
5966,8120,3,12,58,58091,"058091"
5967,8121,3,12,58,58091,"058091"
5968,7867,4,18,78,78064,"078064"
5969,7853,4,18,78,78064,"078064"
5970,8549,1,3,12,12089,"012089"
5971,8547,1,3,12,12089,"012089"
5972,6881,4,18,78,78136,"078136"
5973,6872,4,18,78,78136,"078136"
5974,7535,5,19,87,87009,"087009"
5975,7537,5,19,87,87009,"087009"
5976,3959,3,9,45,45010,"045010"
5977,3960,3,9,45,45010,"045010"
5978,6210,3,9,48,48052,"048052"
5979,6209,3,9,48,48052,"048052"
5980,4299,1,3,12,12134,"012134"
5981,4300,1,3,12,12134,"012134"
5982,3481,1,3,16,16004,"016004"
5983,3479,1,3,16,16004,"016004"
5984,4330,1,3,12,12026,"012026"
5985,4331,1,3,12,12026,"012026"
5986,271,1,3,12,12089,"012089"
5987,272,1,3,12,12089,"012089"
5988,4103,5,19,87,87009,"087009"
5989,4104,5,19,87,87009,"087009"
5990,5758,1,3,15,15131,"015131"
5991,5755,1,3,15,15131,"015131"
5992,7798,1,3,20,20065,"020065"
5993,7806,1,3,20,20065,"020065"
5994,7905,3,9,47,47012,"047012"
5995,7907,3,9,47,47012,"047012"
5996,5594,1,3,12,12107,"012107"
5997,5591,1,3,12,12107,"012107"
5998,4298,4,18,101,101010,"101010"
5999,4297,4,18,101,101010,"101010"
6000,7669,3,9,51,51002,"051002"
6001,7666,3,9,51,51002,"051002"
6002,937,3,9,48,48052,"048052"
6003,936,3,9,48,48052,"048052"
6004,422,3,9,51,51002,"051002"
6005,420,3,9,51,51002,"051002"
6006,2723,3,9,45,45010,"045010"
6007,2722,3,9,45,45010,"045010"
6008,7737,3,9,45,45010,"045010"
6009,7739,3,9,45,45010,"045010"
6010,5595,5,19,87,87015,"087015"
6011,5592,5,19,87,87015,"087015"
6012,1098,1,1,3,3065,"003065"
6013,1097,1,1,3,3065,"003065"
6014,711,4,18,78,78064,"078064"
6015,710,4,18,78,78064,"078064"
6016,4133,3,9,46,46017,"046017"
6017,4132,3,9,46,46017,"046017"
6018,3420,3,11,42,42006,"042006"
6019,3423,3,11,42,42006,"042006"
6020,15381,3,11,42,42006,"042006"
6021,15372,3,11,42,42006,"042006"
6022,6575,3,9,50,50032,"050032"
6023,6570,3,9,50,50032,"050032"
6024,2748,5,19,82,82079,"082079"
6025,2747,5,19,82,82079,"082079"
6026,14378,5,19,82,82056,"082056"
6027,14379,5,19,82,82056,"082056"
6028,3205,3,9,48,48052,"048052"
6029,3207,3,9,48,48052,"048052"
6030,6954,3,9,48,48052,"048052"
6031,6968,3,9,48,48052,"048052"
6032,1571,3,9,48,48033,"048033"
6033,1570,3,9,48,48033,"048033"
6034,15225,3,9,50,50035,"050035"
6035,15216,3,9,50,50035,"050035"
6036,6836,3,9,47,47002,"047002"
6037,6835,3,9,47,47002,"047002"
6038,7230,3,9,50,50032,"050032"
6039,7231,3,9,50,50032,"050032"
6040,2862,3,9,50,50032,"050032"
6041,2860,3,9,50,50032,"050032"
6042,5647,4,18,78,78136,"078136"
6043,5643,4,18,78,78136,"078136"
6044,7004,1,1,1,1275,"001275"
6045,6999,1,1,1,1275,"001275"
6046,548,1,1,1,1164,"001164"
6047,547,1,1,1,1164,"001164"
6048,4206,1,7,10,10025,"010025"
6049,4207,1,7,10,10025,"010025"
6050,2758,2,8,40,40001,"040001"
6051,2757,2,8,40,40001,"040001"
6052,14830,1,7,10,10025,"010025"
6053,14826,1,7,10,10025,"010025"
6054,14362,1,1,3,3055,"003055"
6055,14363,1,1,3,3055,"003055"
6056,3665,2,6,30,30080,"030080"
6057,3664,2,6,30,30080,"030080"
6058,7720,3,9,49,49006,"049006"
6059,7726,3,9,49,49006,"049006"
6060,7827,5,20,111,111034,"111034"
6061,7829,5,20,111,111034,"111034"
6062,2518,1,1,3,3144,"003144"
6063,2519,1,1,3,3144,"003144"
6064,5359,1,1,3,3144,"003144"
6065,5362,1,1,3,3144,"003144"
6066,7612,1,1,4,4142,"004142"
6067,7610,1,1,4,4142,"004142"
6068,12438,1,1,1,1001,"001001"
6069,12439,1,1,1,1001,"001001"
6070,5399,1,1,5,5017,"005017"
6071,5396,1,1,5,5017,"005017"
6072,13648,1,1,5,5017,"005017"
6073,13650,1,1,5,5017,"005017"
6074,14131,1,3,16,16031,"016031"
6075,14130,1,3,16,16031,"016031"
6076,3127,2,6,93,93021,"093021"
6077,3125,2,6,93,93021,"093021"
6078,14902,3,9,45,45001,"045001"
6079,14905,3,9,45,45001,"045001"
6080,3736,3,9,49,49006,"049006"
6081,3737,3,9,49,49006,"049006"
6082,3523,3,9,48,48005,"048005"
6083,3525,3,9,48,48005,"048005"
6084,5699,3,9,48,48005,"048005"
6085,5702,3,9,48,48005,"048005"
6086,3718,3,11,43,43055,"043055"
6087,3719,3,11,43,43055,"043055"
6088,12622,3,11,42,42010,"042010"
6089,12621,3,11,42,42010,"042010"
6090,3756,3,11,42,42048,"042048"
6091,3755,3,11,42,42048,"042048"
6092,15396,3,11,43,43055,"043055"
6093,15393,3,11,43,43055,"043055"
6094,4665,3,11,42,42017,"042017"
6095,4668,3,11,42,42017,"042017"
6096,4926,1,3,15,15182,"015182"
6097,4928,1,3,15,15182,"015182"
6098,1715,1,3,15,15182,"015182"
6099,1716,1,3,15,15182,"015182"
6100,4956,2,6,93,93021,"093021"
6101,4963,2,6,93,93021,"093021"
6102,3382,1,3,15,15077,"015077"
6103,3383,1,3,15,15077,"015077"
6104,1530,1,3,19,19021,"019021"
6105,1531,1,3,19,19021,"019021"
6106,1010,1,3,15,15077,"015077"
6107,1011,1,3,15,15077,"015077"
6108,9468,1,1,6,6081,"006081"
6109,9464,1,1,6,6081,"006081"
6110,8122,1,1,6,6081,"006081"
6111,8123,1,1,6,6081,"006081"
6112,8707,1,1,6,6003,"006003"
6113,8710,1,1,6,6003,"006003"
6114,3374,1,1,6,6081,"006081"
6115,3375,1,1,6,6081,"006081"
6116,5501,1,1,6,6111,"006111"
6117,5496,1,1,6,6111,"006111"
6118,728,1,1,6,6081,"006081"
6119,729,1,1,6,6081,"006081"
6120,2134,1,1,3,3146,"003146"
6121,2135,1,1,3,3146,"003146"
6122,4513,1,1,4,4061,"004061"
6123,4516,1,1,4,4061,"004061"
6124,9858,1,7,10,10025,"010025"
6125,9856,1,7,10,10025,"010025"
6126,7311,1,1,4,4061,"004061"
6127,7319,1,1,4,4061,"004061"
6128,1340,1,3,97,97054,"097054"
6129,1339,1,3,97,97054,"097054"
6130,2114,4,17,77,77030,"077030"
6131,2115,4,17,77,77030,"077030"
6132,5065,5,20,95,95005,"095005"
6133,5070,5,20,95,95005,"095005"
6134,3904,5,20,95,95065,"095065"
