status,evse_id,coordinates_latitude,coordinates_longitude
AVAILABLE,6803995*1,45.5838593,9.1752398
AVAILABLE,6803995*2,45.5838593,9.1752398
AVAILABLE,6824145*1,45.5124874,9.2708078
AVAILABLE,6824145*2,45.5124874,9.2708078
AVAILABLE,6824535*1,45.3279044,9.1030025
AVAILABLE,6824535*2,45.3279044,9.1030025
AVAILABLE,6895895*1,45.7874094,9.2969645
AVAILABLE,6895895*2,45.7874094,9.2969645
AVAILABLE,6904425*1,45.5045389,11.6248258
AVAILABLE,6904425*2,45.5045389,11.6248258
AVAILABLE,6921145*1,45.6829367,9.607498
AVAILABLE,6921145*2,45.6829367,9.607498
AVAILABLE,CP001-1,40.560711,14.990349
AVAILABLE,CP001-2,40.560711,14.990349
CHARGING,CP002-1,40.442887,15.008584
AVAILABLE,CP002-2,40.442887,15.008584
OUTOFORDER,CP003-1,40.34939,14.992011
AVAILABLE,CP003-2,40.34939,14.992011
AVAILABLE,CP004-1,40.291247,14.950859
AVAILABLE,CP004-2,40.291247,14.950859
AVAILABLE,CP006-1,40.230887,15.264931
AVAILABLE,CP006-2,40.230887,15.264931
CHARGING,CP008-1,40.44301,15.00804
AVAILABLE,CP008-2,40.44301,15.00804
AVAILABLE,CP009-1,40.38557,15.026404
AVAILABLE,CP009-2,40.38557,15.026404
AVAILABLE,CP010-1,40.719364,14.544908
AVAILABLE,CP010-2,40.719364,14.544908
AVAILABLE,CP011-1,40.400289,15.116824
AVAILABLE,CP011-2,40.400289,15.116824
AVAILABLE,CP012-1,43.154575,11.083166
AVAILABLE,CP012-2,43.154575,11.083166
AVAILABLE,CP013-1,40.901831,15.43012
AVAILABLE,CP013-2,40.901831,15.43012
AVAILABLE,CP014-1,40.85369,14.870453
AVAILABLE,CP014-2,40.85369,14.870453
CHARGING,CP015-1,40.076556,15.590263
AVAILABLE,CP015-2,40.076556,15.590263
AVAILABLE,CP016-1,43.546075,11.0456912
AVAILABLE,CP016-2,43.546075,11.0456912
AVAILABLE,CP017-1,43.5502323,11.0465897
AVAILABLE,CP017-2,43.5502323,11.0465897
CHARGING,CP018-1,40.1406652,15.1678152
AVAILABLE,CP018-2,40.1406652,15.1678152
AVAILABLE,CP019-1,40.4442318,15.2531426
AVAILABLE,CP019-2,40.4442318,15.2531426
AVAILABLE,CP020-1,40.9381,15.325718
AVAILABLE,CP020-2,40.9381,15.325718
AVAILABLE,CP021-1,40.5597018,15.3066106
AVAILABLE,CP021-2,40.5597018,15.3066106
AVAILABLE,CP022-1,40.226291,15.046607
AVAILABLE,CP022-2,40.226291,15.046607
AVAILABLE,CP023-1,40.351454,15.0452223
AVAILABLE,CP023-2,40.351454,15.0452223
AVAILABLE,CP024-1,40.504619,15.0647891
AVAILABLE,CP024-2,40.504619,15.0647891
AVAILABLE,CP025-1,43.1524921,11.1512887
AVAILABLE,CP025-2,43.1524921,11.1512887
AVAILABLE,CP026-1,40.0543947,15.4939437
AVAILABLE,CP026-2,40.0543947,15.4939437
AVAILABLE,CP027-1,40.1797437,15.0248074
AVAILABLE,CP027-2,40.1797437,15.0248074
AVAILABLE,CP028-1,40.1796829,15.024833
AVAILABLE,CP028-2,40.1796829,15.024833
AVAILABLE,DE*CIW*E000323,46.611956,10.860576
AVAILABLE,DE*CIW*E000324,46.611956,10.860576
AVAILABLE,IT0721080090*1,39.0738455,16.0913568
AVAILABLE,IT0721080092*1,39.1291687,16.0697947
AVAILABLE,IT0721090010*1,40.9172702,14.4004224
AVAILABLE,IT0721090010*2,40.9172702,14.4004224
AVAILABLE,IT0721090029*1,38.8316844,16.6401732
AVAILABLE,IT0721090029*2,38.8316844,16.6401732
AVAILABLE,IT0721090032*1,42.3621739,14.1988562
