_link,_link_main,standard,power_type,max_electric_power
2628.connectors.0,2628,IEC_62196_T3A,AC_1_PHASE,3600
2629.connectors.0,2629,IEC_62196_T2_COMBO,DC,50000
2630.connectors.0,2630,CHADEMO,DC,50000
2631.connectors.0,2631,IEC_62196_T2,AC_3_PHASE,43562
2632.connectors.0,2632,IEC_62196_T2_COMBO,DC,50000
2633.connectors.0,2633,CHADEMO,DC,50000
2634.connectors.0,2634,IEC_62196_T2,AC_3_PHASE,43562
2635.connectors.0,2635,IEC_62196_T2_COMBO,DC,50000
2636.connectors.0,2636,CHADEMO,DC,50000
2637.connectors.0,2637,IEC_62196_T2,AC_3_PHASE,43562
2638.connectors.0,2638,IEC_62196_T2_COMBO,DC,50000
2639.connectors.0,2639,CHADEMO,DC,50000
2640.connectors.0,2640,IEC_62196_T2,AC_3_PHASE,43562
2641.connectors.0,2641,IEC_62196_T2_COMBO,DC,50000
2642.connectors.0,2642,CHADEMO,DC,50000
2643.connectors.0,2643,IEC_62196_T2,AC_3_PHASE,43562
2644.connectors.0,2644,IEC_62196_T2_COMBO,DC,50000
2645.connectors.0,2645,CHADEMO,DC,50000
2646.connectors.0,2646,IEC_62196_T2,AC_3_PHASE,43562
2647.connectors.0,2647,IEC_62196_T2,AC_3_PHASE,16595
2648.connectors.0,2648,IEC_62196_T2,AC_3_PHASE,16595
2649.connectors.0,2649,IEC_62196_T2,AC_3_PHASE,22127
2650.connectors.0,2650,IEC_62196_T2,AC_3_PHASE,22127
2651.connectors.0,2651,IEC_62196_T2,AC_3_PHASE,16595
2652.connectors.0,2652,IEC_62196_T2,AC_3_PHASE,16595
2653.connectors.0,2653,IEC_62196_T2,AC_3_PHASE,16595
2654.connectors.0,2654,IEC_62196_T2,AC_3_PHASE,16595
2655.connectors.0,2655,IEC_62196_T2,AC_3_PHASE,16595
2656.connectors.0,2656,IEC_62196_T2,AC_3_PHASE,16595
2657.connectors.0,2657,IEC_62196_T2,AC_3_PHASE,22127
2658.connectors.0,2658,IEC_62196_T2,AC_3_PHASE,22127
2659.connectors.0,2659,IEC_62196_T2,AC_3_PHASE,16595
2660.connectors.0,2660,IEC_62196_T2,AC_3_PHASE,16595
2661.connectors.0,2661,IEC_62196_T2,AC_3_PHASE,16595
2662.connectors.0,2662,IEC_62196_T2,AC_3_PHASE,16595
2663.connectors.0,2663,IEC_62196_T2,AC_3_PHASE,16595
2664.connectors.0,2664,IEC_62196_T2,AC_3_PHASE,16595
2665.connectors.0,2665,IEC_62196_T2,AC_3_PHASE,22127
2666.connectors.0,2666,IEC_62196_T2,AC_3_PHASE,22127
2667.connectors.0,2667,IEC_62196_T2,AC_3_PHASE,22127
2668.connectors.0,2668,IEC_62196_T2,AC_3_PHASE,22127
2669.connectors.0,2669,IEC_62196_T2,AC_3_PHASE,22127
2670.connectors.0,2670,IEC_62196_T2,AC_3_PHASE,22127
2671.connectors.0,2671,IEC_62196_T2,AC_3_PHASE,22127
2672.connectors.0,2672,IEC_62196_T2,AC_3_PHASE,22127
2673.connectors.0,2673,IEC_62196_T2,AC_3_PHASE,22127
2674.connectors.0,2674,IEC_62196_T2,AC_3_PHASE,22127
2675.connectors.0,2675,IEC_62196_T2,AC_3_PHASE,22127
2676.connectors.0,2676,IEC_62196_T2,AC_3_PHASE,22127
2677.connectors.0,2677,IEC_62196_T2,AC_3_PHASE,16595
2678.connectors.0,2678,IEC_62196_T2,AC_3_PHASE,16595
2679.connectors.0,2679,IEC_62196_T2,AC_3_PHASE,22127
2680.connectors.0,2680,IEC_62196_T2,AC_3_PHASE,22127
2681.connectors.0,2681,IEC_62196_T2,AC_3_PHASE,22127
2682.connectors.0,2682,IEC_62196_T2,AC_3_PHASE,22127
2683.connectors.0,2683,IEC_62196_T2,AC_3_PHASE,22127
2684.connectors.0,2684,IEC_62196_T2,AC_3_PHASE,22127
2685.connectors.0,2685,IEC_62196_T2,AC_3_PHASE,16595
2686.connectors.0,2686,IEC_62196_T2,AC_3_PHASE,16595
2687.connectors.0,2687,IEC_62196_T2,AC_3_PHASE,22127
2688.connectors.0,2688,IEC_62196_T2,AC_3_PHASE,22127
2689.connectors.0,2689,IEC_62196_T2,AC_3_PHASE,22127
2690.connectors.0,2690,IEC_62196_T2,AC_3_PHASE,22127
2691.connectors.0,2691,IEC_62196_T2,AC_3_PHASE,22127
2692.connectors.0,2692,IEC_62196_T2,AC_3_PHASE,22127
2693.connectors.0,2693,IEC_62196_T2,AC_3_PHASE,16595
2694.connectors.0,2694,IEC_62196_T2,AC_3_PHASE,16595
2695.connectors.0,2695,IEC_62196_T2,AC_3_PHASE,22127
2696.connectors.0,2696,IEC_62196_T2,AC_3_PHASE,22127
2697.connectors.0,2697,IEC_62196_T2,AC_3_PHASE,22127
2698.connectors.0,2698,IEC_62196_T2,AC_3_PHASE,22127
2699.connectors.0,2699,IEC_62196_T2,AC_3_PHASE,22127
2700.connectors.0,2700,IEC_62196_T2,AC_3_PHASE,22127
2701.connectors.0,2701,IEC_62196_T2,AC_3_PHASE,22127
2702.connectors.0,2702,IEC_62196_T2,AC_3_PHASE,22127
2703.connectors.0,2703,IEC_62196_T2,AC_3_PHASE,22127
2704.connectors.0,2704,IEC_62196_T2,AC_3_PHASE,22127
2705.connectors.0,2705,IEC_62196_T2,AC_3_PHASE,22127
2706.connectors.0,2706,IEC_62196_T2,AC_3_PHASE,22127
2707.connectors.0,2707,IEC_62196_T2,AC_3_PHASE,22127
2708.connectors.0,2708,IEC_62196_T2,AC_3_PHASE,22127
2709.connectors.0,2709,IEC_62196_T2,AC_3_PHASE,22127
2710.connectors.0,2710,IEC_62196_T2,AC_3_PHASE,22127
2711.connectors.0,2711,IEC_62196_T2,AC_3_PHASE,22127
2712.connectors.0,2712,IEC_62196_T2,AC_3_PHASE,22127
2713.connectors.0,2713,IEC_62196_T2,AC_3_PHASE,22127
2714.connectors.0,2714,IEC_62196_T2,AC_3_PHASE,22127
2715.connectors.0,2715,IEC_62196_T2,AC_3_PHASE,22127
2716.connectors.0,2716,IEC_62196_T2,AC_3_PHASE,22127
2717.connectors.0,2717,IEC_62196_T2,AC_3_PHASE,22127
2718.connectors.0,2718,IEC_62196_T2,AC_3_PHASE,22127
2719.connectors.0,2719,IEC_62196_T2,AC_3_PHASE,22127
2720.connectors.0,2720,IEC_62196_T2,AC_3_PHASE,22127
2721.connectors.0,2721,IEC_62196_T2,AC_3_PHASE,22127
2722.connectors.0,2722,IEC_62196_T2,AC_3_PHASE,22127
2723.connectors.0,2723,IEC_62196_T2,AC_3_PHASE,22127
2724.connectors.0,2724,IEC_62196_T2,AC_3_PHASE,22127
2725.connectors.0,2725,IEC_62196_T2,AC_3_PHASE,22127
2726.connectors.0,2726,IEC_62196_T2,AC_3_PHASE,22127
2727.connectors.0,2727,IEC_62196_T2,AC_3_PHASE,22127
2728.connectors.0,2728,IEC_62196_T2,AC_3_PHASE,22127
2729.connectors.0,2729,IEC_62196_T2,AC_3_PHASE,22127
2730.connectors.0,2730,IEC_62196_T2,AC_3_PHASE,22127
2731.connectors.0,2731,IEC_62196_T2,AC_3_PHASE,22127
2732.connectors.0,2732,IEC_62196_T2,AC_3_PHASE,22127
2733.connectors.0,2733,IEC_62196_T2,AC_3_PHASE,22127
2734.connectors.0,2734,IEC_62196_T2,AC_3_PHASE,22127
2735.connectors.0,2735,IEC_62196_T2,AC_3_PHASE,22127
2736.connectors.0,2736,IEC_62196_T2,AC_3_PHASE,22127
2737.connectors.0,2737,IEC_62196_T2,AC_3_PHASE,22127
2738.connectors.0,2738,IEC_62196_T2,AC_3_PHASE,22127
2739.connectors.0,2739,IEC_62196_T2,AC_3_PHASE,22127
2740.connectors.0,2740,IEC_62196_T2,AC_3_PHASE,22127
2741.connectors.0,2741,IEC_62196_T2,AC_3_PHASE,22127
2742.connectors.0,2742,IEC_62196_T2,AC_3_PHASE,22127
2743.connectors.0,2743,IEC_62196_T2,AC_3_PHASE,22127
2744.connectors.0,2744,IEC_62196_T2,AC_3_PHASE,22127
2745.connectors.0,2745,IEC_62196_T2,AC_3_PHASE,22127
2746.connectors.0,2746,IEC_62196_T2,AC_3_PHASE,22127
2747.connectors.0,2747,IEC_62196_T2,AC_3_PHASE,22127
2748.connectors.0,2748,IEC_62196_T2,AC_3_PHASE,22127
2749.connectors.0,2749,IEC_62196_T2,AC_3_PHASE,22127
2750.connectors.0,2750,IEC_62196_T2,AC_3_PHASE,22127
2751.connectors.0,2751,IEC_62196_T2,AC_3_PHASE,22127
2752.connectors.0,2752,IEC_62196_T2,AC_3_PHASE,22127
2753.connectors.0,2753,IEC_62196_T2,AC_3_PHASE,22127
2754.connectors.0,2754,IEC_62196_T2,AC_3_PHASE,22127
2755.connectors.0,2755,IEC_62196_T2,AC_3_PHASE,22127
2756.connectors.0,2756,IEC_62196_T2,AC_3_PHASE,22127
2757.connectors.0,2757,IEC_62196_T2,AC_3_PHASE,22127
2758.connectors.0,2758,IEC_62196_T2,AC_3_PHASE,22127
2759.connectors.0,2759,IEC_62196_T2,AC_3_PHASE,22127
2760.connectors.0,2760,IEC_62196_T2,AC_3_PHASE,22127
2761.connectors.0,2761,IEC_62196_T2,AC_3_PHASE,22127
2762.connectors.0,2762,IEC_62196_T2,AC_3_PHASE,22127
2763.connectors.0,2763,IEC_62196_T2,AC_3_PHASE,22127
2764.connectors.0,2764,IEC_62196_T2,AC_3_PHASE,22127
2765.connectors.0,2765,IEC_62196_T2,AC_3_PHASE,22127
2766.connectors.0,2766,IEC_62196_T2,AC_3_PHASE,22127
2767.connectors.0,2767,IEC_62196_T2,AC_3_PHASE,22127
2768.connectors.0,2768,IEC_62196_T2,AC_3_PHASE,22127
2769.connectors.0,2769,IEC_62196_T2,AC_3_PHASE,22127
2770.connectors.0,2770,IEC_62196_T2,AC_3_PHASE,22127
2771.connectors.0,2771,IEC_62196_T2,AC_3_PHASE,22127
2772.connectors.0,2772,IEC_62196_T2,AC_3_PHASE,22127
2773.connectors.0,2773,IEC_62196_T2,AC_3_PHASE,22127
2774.connectors.0,2774,IEC_62196_T2,AC_3_PHASE,22127
2775.connectors.0,2775,IEC_62196_T2,AC_3_PHASE,22127
2776.connectors.0,2776,IEC_62196_T2,AC_3_PHASE,22127
2777.connectors.0,2777,IEC_62196_T2,AC_3_PHASE,22127
2778.connectors.0,2778,IEC_62196_T2,AC_3_PHASE,22127
2779.connectors.0,2779,IEC_62196_T2,AC_3_PHASE,22127
2780.connectors.0,2780,IEC_62196_T2,AC_3_PHASE,22127
2781.connectors.0,2781,IEC_62196_T2,AC_3_PHASE,22127
2782.connectors.0,2782,IEC_62196_T2,AC_3_PHASE,22127
2783.connectors.0,2783,IEC_62196_T2,AC_3_PHASE,22127
2784.connectors.0,2784,IEC_62196_T2,AC_3_PHASE,22127
2785.connectors.0,2785,IEC_62196_T2,AC_3_PHASE,22127
2786.connectors.0,2786,IEC_62196_T2,AC_3_PHASE,22127
2787.connectors.0,2787,IEC_62196_T2,AC_3_PHASE,22127
2788.connectors.0,2788,IEC_62196_T2,AC_3_PHASE,22127
2789.connectors.0,2789,IEC_62196_T2,AC_3_PHASE,22127
2790.connectors.0,2790,IEC_62196_T2,AC_3_PHASE,22127
2791.connectors.0,2791,IEC_62196_T2,AC_3_PHASE,22127
2792.connectors.0,2792,IEC_62196_T2,AC_3_PHASE,22127
2793.connectors.0,2793,IEC_62196_T2,AC_3_PHASE,22127
2794.connectors.0,2794,IEC_62196_T2,AC_3_PHASE,22127
2795.connectors.0,2795,IEC_62196_T2,AC_3_PHASE,22127
2796.connectors.0,2796,IEC_62196_T2,AC_3_PHASE,22127
2797.connectors.0,2797,IEC_62196_T2,AC_3_PHASE,22127
2798.connectors.0,2798,IEC_62196_T2,AC_3_PHASE,22127
2799.connectors.0,2799,IEC_62196_T2,AC_3_PHASE,22127
2800.connectors.0,2800,IEC_62196_T2,AC_3_PHASE,22127
2801.connectors.0,2801,IEC_62196_T2,AC_3_PHASE,22127
2802.connectors.0,2802,IEC_62196_T2,AC_3_PHASE,22127
2803.connectors.0,2803,IEC_62196_T2,AC_3_PHASE,22127
2804.connectors.0,2804,IEC_62196_T2,AC_3_PHASE,22127
2805.connectors.0,2805,IEC_62196_T2,AC_3_PHASE,22127
2806.connectors.0,2806,IEC_62196_T2,AC_3_PHASE,22127
2807.connectors.0,2807,IEC_62196_T2,AC_3_PHASE,22127
2808.connectors.0,2808,IEC_62196_T2,AC_3_PHASE,22127
2809.connectors.0,2809,IEC_62196_T2,AC_3_PHASE,22127
2810.connectors.0,2810,IEC_62196_T2,AC_3_PHASE,22127
2811.connectors.0,2811,IEC_62196_T2,AC_3_PHASE,22127
2812.connectors.0,2812,IEC_62196_T2,AC_3_PHASE,22127
2813.connectors.0,2813,IEC_62196_T2,AC_3_PHASE,22127
2814.connectors.0,2814,IEC_62196_T2,AC_3_PHASE,22127
2815.connectors.0,2815,IEC_62196_T2,AC_3_PHASE,22127
2816.connectors.0,2816,IEC_62196_T2,AC_3_PHASE,22127
2817.connectors.0,2817,IEC_62196_T2,AC_3_PHASE,22127
2818.connectors.0,2818,IEC_62196_T2,AC_3_PHASE,22127
2819.connectors.0,2819,IEC_62196_T2,AC_3_PHASE,22127
2820.connectors.0,2820,IEC_62196_T2,AC_3_PHASE,22127
2821.connectors.0,2821,IEC_62196_T2,AC_3_PHASE,22127
2822.connectors.0,2822,IEC_62196_T2,AC_3_PHASE,22127
2823.connectors.0,2823,IEC_62196_T2,AC_3_PHASE,22127
2824.connectors.0,2824,IEC_62196_T2,AC_3_PHASE,22127
2825.connectors.0,2825,IEC_62196_T2,AC_3_PHASE,22127
2826.connectors.0,2826,IEC_62196_T2,AC_3_PHASE,22127
2827.connectors.0,2827,IEC_62196_T2,AC_3_PHASE,22127
2828.connectors.0,2828,IEC_62196_T2,AC_3_PHASE,22127
2829.connectors.0,2829,IEC_62196_T2,AC_3_PHASE,22127
2830.connectors.0,2830,IEC_62196_T2,AC_3_PHASE,22127
2831.connectors.0,2831,IEC_62196_T2,AC_3_PHASE,22127
2832.connectors.0,2832,IEC_62196_T2,AC_3_PHASE,22127
2833.connectors.0,2833,IEC_62196_T2,AC_3_PHASE,22127
2834.connectors.0,2834,IEC_62196_T2,AC_3_PHASE,22127
2835.connectors.0,2835,IEC_62196_T2,AC_3_PHASE,22127
2836.connectors.0,2836,IEC_62196_T2,AC_3_PHASE,22127
2837.connectors.0,2837,IEC_62196_T2,AC_3_PHASE,22127
2838.connectors.0,2838,IEC_62196_T2,AC_3_PHASE,22127
2839.connectors.0,2839,IEC_62196_T2,AC_3_PHASE,22127
2840.connectors.0,2840,IEC_62196_T2,AC_3_PHASE,22127
2841.connectors.0,2841,IEC_62196_T2,AC_3_PHASE,22127
2842.connectors.0,2842,IEC_62196_T2,AC_3_PHASE,22127
2843.connectors.0,2843,IEC_62196_T2,AC_3_PHASE,22127
2844.connectors.0,2844,IEC_62196_T2,AC_3_PHASE,22127
2845.connectors.0,2845,IEC_62196_T2,AC_3_PHASE,22127
2846.connectors.0,2846,IEC_62196_T2,AC_3_PHASE,22127
2847.connectors.0,2847,IEC_62196_T2,AC_3_PHASE,22127
2848.connectors.0,2848,IEC_62196_T2,AC_3_PHASE,22127
2849.connectors.0,2849,IEC_62196_T2,AC_3_PHASE,22127
2850.connectors.0,2850,IEC_62196_T2,AC_3_PHASE,22127
2851.connectors.0,2851,IEC_62196_T2,AC_3_PHASE,22127
2852.connectors.0,2852,IEC_62196_T2,AC_3_PHASE,22127
2853.connectors.0,2853,IEC_62196_T2,AC_3_PHASE,22127
2854.connectors.0,2854,IEC_62196_T2,AC_3_PHASE,22127
2855.connectors.0,2855,IEC_62196_T2,AC_3_PHASE,22127
2856.connectors.0,2856,IEC_62196_T2,AC_3_PHASE,22127
2857.connectors.0,2857,IEC_62196_T2,AC_3_PHASE,22127
2858.connectors.0,2858,IEC_62196_T2,AC_3_PHASE,22127
2859.connectors.0,2859,IEC_62196_T2,AC_3_PHASE,22127
2860.connectors.0,2860,IEC_62196_T2,AC_3_PHASE,22127
2861.connectors.0,2861,IEC_62196_T2,AC_3_PHASE,22127
2862.connectors.0,2862,IEC_62196_T2,AC_3_PHASE,22127
2863.connectors.0,2863,IEC_62196_T2,AC_3_PHASE,16595
2864.connectors.0,2864,IEC_62196_T2,AC_3_PHASE,16595
2865.connectors.0,2865,IEC_62196_T2,AC_3_PHASE,16595
2866.connectors.0,2866,IEC_62196_T2,AC_3_PHASE,16595
2867.connectors.0,2867,IEC_62196_T2,AC_3_PHASE,22127
2868.connectors.0,2868,IEC_62196_T2,AC_3_PHASE,22127
2869.connectors.0,2869,IEC_62196_T2,AC_3_PHASE,22127
2870.connectors.0,2870,IEC_62196_T2,AC_3_PHASE,22127
2871.connectors.0,2871,IEC_62196_T2,AC_3_PHASE,22127
2872.connectors.0,2872,IEC_62196_T2,AC_3_PHASE,22127
2873.connectors.0,2873,IEC_62196_T2,AC_3_PHASE,22127
2874.connectors.0,2874,IEC_62196_T2,AC_3_PHASE,22127
2875.connectors.0,2875,IEC_62196_T2,AC_3_PHASE,22127
2876.connectors.0,2876,IEC_62196_T2,AC_3_PHASE,22127
2877.connectors.0,2877,IEC_62196_T2,AC_3_PHASE,22127
2878.connectors.0,2878,IEC_62196_T2,AC_3_PHASE,22127
2879.connectors.0,2879,IEC_62196_T2,AC_3_PHASE,22127
2880.connectors.0,2880,IEC_62196_T2,AC_3_PHASE,22127
2881.connectors.0,2881,IEC_62196_T2,AC_3_PHASE,22127
2882.connectors.0,2882,IEC_62196_T2,AC_3_PHASE,22127
2883.connectors.0,2883,IEC_62196_T2,AC_3_PHASE,22127
2884.connectors.0,2884,IEC_62196_T2,AC_3_PHASE,22127
2885.connectors.0,2885,IEC_62196_T2,AC_3_PHASE,22127
2886.connectors.0,2886,IEC_62196_T2,AC_3_PHASE,22127
2887.connectors.0,2887,IEC_62196_T2,AC_3_PHASE,22127
2888.connectors.0,2888,IEC_62196_T2,AC_3_PHASE,22127
2889.connectors.0,2889,IEC_62196_T2,AC_3_PHASE,22127
2890.connectors.0,2890,IEC_62196_T2,AC_3_PHASE,22127
2891.connectors.0,2891,IEC_62196_T2,AC_3_PHASE,22127
2892.connectors.0,2892,IEC_62196_T2,AC_3_PHASE,22127
2893.connectors.0,2893,IEC_62196_T2,AC_3_PHASE,22127
2894.connectors.0,2894,IEC_62196_T2,AC_3_PHASE,22127
2895.connectors.0,2895,IEC_62196_T2,AC_3_PHASE,22127
2896.connectors.0,2896,IEC_62196_T2,AC_3_PHASE,22127
2897.connectors.0,2897,IEC_62196_T2,AC_3_PHASE,22127
2898.connectors.0,2898,IEC_62196_T2,AC_3_PHASE,22127
2899.connectors.0,2899,IEC_62196_T2,AC_3_PHASE,22127
2900.connectors.0,2900,IEC_62196_T2,AC_3_PHASE,22127
2901.connectors.0,2901,IEC_62196_T2,AC_3_PHASE,22127
2902.connectors.0,2902,IEC_62196_T2,AC_3_PHASE,22127
2903.connectors.0,2903,IEC_62196_T2,AC_3_PHASE,22127
2904.connectors.0,2904,IEC_62196_T2,AC_3_PHASE,22127
2905.connectors.0,2905,IEC_62196_T2,AC_3_PHASE,22127
2906.connectors.0,2906,IEC_62196_T2,AC_3_PHASE,22127
2907.connectors.0,2907,IEC_62196_T2,AC_3_PHASE,22127
2908.connectors.0,2908,IEC_62196_T2,AC_3_PHASE,22127
2909.connectors.0,2909,IEC_62196_T2,AC_3_PHASE,22127
2910.connectors.0,2910,IEC_62196_T2,AC_3_PHASE,22127
2911.connectors.0,2911,IEC_62196_T2,AC_3_PHASE,16595
2912.connectors.0,2912,IEC_62196_T2,AC_3_PHASE,16595
2913.connectors.0,2913,IEC_62196_T2,AC_3_PHASE,22127
2914.connectors.0,2914,IEC_62196_T2,AC_3_PHASE,22127
2915.connectors.0,2915,IEC_62196_T2,AC_3_PHASE,22127
2916.connectors.0,2916,IEC_62196_T2,AC_3_PHASE,22127
2917.connectors.0,2917,IEC_62196_T2,AC_3_PHASE,22127
2918.connectors.0,2918,IEC_62196_T2,AC_3_PHASE,22127
2919.connectors.0,2919,IEC_62196_T2,AC_3_PHASE,22127
2920.connectors.0,2920,IEC_62196_T2,AC_3_PHASE,22127
2921.connectors.0,2921,IEC_62196_T2,AC_3_PHASE,22127
2922.connectors.0,2922,IEC_62196_T2,AC_3_PHASE,22127
2923.connectors.0,2923,IEC_62196_T2,AC_3_PHASE,22127
2924.connectors.0,2924,IEC_62196_T2,AC_3_PHASE,22127
2925.connectors.0,2925,IEC_62196_T2,AC_3_PHASE,22127
2926.connectors.0,2926,IEC_62196_T2,AC_3_PHASE,22127
2927.connectors.0,2927,IEC_62196_T2,AC_3_PHASE,22127
2928.connectors.0,2928,IEC_62196_T2,AC_3_PHASE,22127
2929.connectors.0,2929,IEC_62196_T2,AC_3_PHASE,22127
2930.connectors.0,2930,IEC_62196_T2,AC_3_PHASE,22127
2931.connectors.0,2931,IEC_62196_T2,AC_3_PHASE,22127
2932.connectors.0,2932,IEC_62196_T2,AC_3_PHASE,22127
2933.connectors.0,2933,IEC_62196_T2,AC_3_PHASE,22127
2934.connectors.0,2934,IEC_62196_T2,AC_3_PHASE,22127
2935.connectors.0,2935,IEC_62196_T2,AC_3_PHASE,22127
2936.connectors.0,2936,IEC_62196_T2,AC_3_PHASE,22127
2937.connectors.0,2937,IEC_62196_T2,AC_1_PHASE,7345
2938.connectors.0,2938,IEC_62196_T2,AC_1_PHASE,7345
2939.connectors.0,2939,IEC_62196_T2,AC_1_PHASE,7345
2940.connectors.0,2940,IEC_62196_T2,AC_1_PHASE,7345
2941.connectors.0,2941,IEC_62196_T2,AC_1_PHASE,7345
2942.connectors.0,2942,IEC_62196_T2,AC_1_PHASE,7345
2943.connectors.0,2943,IEC_62196_T2,AC_1_PHASE,7345
2944.connectors.0,2944,IEC_62196_T2,AC_1_PHASE,7345
2945.connectors.0,2945,IEC_62196_T2,AC_1_PHASE,7345
2946.connectors.0,2946,IEC_62196_T2,AC_1_PHASE,7345
2947.connectors.0,2947,IEC_62196_T2,AC_1_PHASE,7345
2948.connectors.0,2948,IEC_62196_T2,AC_1_PHASE,7345
2949.connectors.0,2949,IEC_62196_T2,AC_1_PHASE,7345
2950.connectors.0,2950,IEC_62196_T2,AC_1_PHASE,7345
2951.connectors.0,2951,IEC_62196_T2,AC_1_PHASE,7345
2952.connectors.0,2952,IEC_62196_T2,AC_1_PHASE,7345
2953.connectors.0,2953,IEC_62196_T2,AC_1_PHASE,7345
2954.connectors.0,2954,IEC_62196_T2,AC_1_PHASE,7345
2955.connectors.0,2955,IEC_62196_T2,AC_1_PHASE,7345
2956.connectors.0,2956,IEC_62196_T2,AC_1_PHASE,7345
2957.connectors.0,2957,IEC_62196_T2,AC_1_PHASE,7345
2958.connectors.0,2958,IEC_62196_T2,AC_1_PHASE,7345
2959.connectors.0,2959,IEC_62196_T2,AC_3_PHASE,22127
2960.connectors.0,2960,IEC_62196_T2,AC_3_PHASE,22127
2961.connectors.0,2961,IEC_62196_T2,AC_3_PHASE,22127
2962.connectors.0,2962,IEC_62196_T2,AC_3_PHASE,22127
2963.connectors.0,2963,IEC_62196_T2,AC_3_PHASE,22127
2964.connectors.0,2964,IEC_62196_T2,AC_3_PHASE,22127
2965.connectors.0,2965,IEC_62196_T2,AC_3_PHASE,22127
2966.connectors.0,2966,IEC_62196_T2,AC_3_PHASE,22127
2967.connectors.0,2967,IEC_62196_T2,AC_3_PHASE,22127
2968.connectors.0,2968,IEC_62196_T2,AC_3_PHASE,22127
2969.connectors.0,2969,IEC_62196_T2,AC_3_PHASE,22127
2970.connectors.0,2970,IEC_62196_T2,AC_1_PHASE,7345
2971.connectors.0,2971,IEC_62196_T2,AC_1_PHASE,7345
2972.connectors.0,2972,IEC_62196_T2,AC_1_PHASE,7345
2973.connectors.0,2973,IEC_62196_T2,AC_1_PHASE,7345
2974.connectors.0,2974,IEC_62196_T2,AC_1_PHASE,7345
2975.connectors.0,2975,IEC_62196_T2,AC_1_PHASE,7345
2976.connectors.0,2976,IEC_62196_T2,AC_1_PHASE,7345
2977.connectors.0,2977,IEC_62196_T2,AC_1_PHASE,7345
2978.connectors.0,2978,IEC_62196_T2,AC_1_PHASE,7345
2979.connectors.0,2979,IEC_62196_T2,AC_1_PHASE,7345
2980.connectors.0,2980,IEC_62196_T2,AC_1_PHASE,7345
2981.connectors.0,2981,IEC_62196_T2,AC_1_PHASE,7345
2982.connectors.0,2982,IEC_62196_T2,AC_1_PHASE,7345
2983.connectors.0,2983,IEC_62196_T2,AC_1_PHASE,7345
2984.connectors.0,2984,IEC_62196_T2,AC_1_PHASE,7345
2985.connectors.0,2985,IEC_62196_T2,AC_1_PHASE,7345
2986.connectors.0,2986,IEC_62196_T2,AC_3_PHASE,22127
2987.connectors.0,2987,IEC_62196_T2,AC_3_PHASE,22127
2988.connectors.0,2988,IEC_62196_T2,AC_3_PHASE,22127
2989.connectors.0,2989,IEC_62196_T2,AC_3_PHASE,22127
2990.connectors.0,2990,IEC_62196_T2,AC_3_PHASE,22127
2991.connectors.0,2991,IEC_62196_T2,AC_3_PHASE,22127
2992.connectors.0,2992,IEC_62196_T2,AC_3_PHASE,22127
2993.connectors.0,2993,IEC_62196_T2,AC_3_PHASE,22127
2994.connectors.0,2994,IEC_62196_T2,AC_3_PHASE,22127
2995.connectors.0,2995,IEC_62196_T2,AC_3_PHASE,22127
2996.connectors.0,2996,IEC_62196_T2,AC_3_PHASE,22127
2997.connectors.0,2997,IEC_62196_T2,AC_3_PHASE,22127
2998.connectors.0,2998,IEC_62196_T2,AC_3_PHASE,22127
2999.connectors.0,2999,IEC_62196_T2,AC_3_PHASE,22127
3000.connectors.0,3000,IEC_62196_T2,AC_3_PHASE,22127
3001.connectors.0,3001,IEC_62196_T2,AC_3_PHASE,22127
3002.connectors.0,3002,IEC_62196_T2,AC_3_PHASE,22127
3003.connectors.0,3003,IEC_62196_T2,AC_3_PHASE,22127
3004.connectors.0,3004,IEC_62196_T2,AC_3_PHASE,22127
3005.connectors.0,3005,IEC_62196_T2,AC_1_PHASE,7345
3006.connectors.0,3006,IEC_62196_T2,AC_1_PHASE,7345
3007.connectors.0,3007,IEC_62196_T2,AC_1_PHASE,7345
3008.connectors.0,3008,IEC_62196_T2,AC_1_PHASE,7345
3009.connectors.0,3009,IEC_62196_T2,AC_1_PHASE,7345
3010.connectors.0,3010,IEC_62196_T2,AC_1_PHASE,7345
3011.connectors.0,3011,IEC_62196_T2,AC_1_PHASE,7345
3012.connectors.0,3012,IEC_62196_T2,AC_1_PHASE,7345
3013.connectors.0,3013,IEC_62196_T2,AC_1_PHASE,7345
3014.connectors.0,3014,IEC_62196_T2,AC_1_PHASE,7345
3015.connectors.0,3015,IEC_62196_T2,AC_1_PHASE,7345
3016.connectors.0,3016,IEC_62196_T2,AC_1_PHASE,7345
3017.connectors.0,3017,IEC_62196_T2,AC_1_PHASE,7345
3018.connectors.0,3018,IEC_62196_T2,AC_1_PHASE,7345
3019.connectors.0,3019,IEC_62196_T2,AC_1_PHASE,7345
3020.connectors.0,3020,IEC_62196_T2,AC_1_PHASE,7345
3021.connectors.0,3021,IEC_62196_T2,AC_1_PHASE,7345
3022.connectors.0,3022,IEC_62196_T2,AC_1_PHASE,7345
3023.connectors.0,3023,IEC_62196_T2,AC_1_PHASE,7345
3024.connectors.0,3024,IEC_62196_T2,AC_1_PHASE,7345
3025.connectors.0,3025,IEC_62196_T2,AC_1_PHASE,7345
3026.connectors.0,3026,IEC_62196_T2,AC_1_PHASE,7345
3027.connectors.0,3027,IEC_62196_T2,AC_3_PHASE,22127
3028.connectors.0,3028,IEC_62196_T2,AC_3_PHASE,22127
